0,1,2,3,4,5,6,7,8,9
1.0,0.0,0.0075716603569497025,0.009734991887506761,0.0016224986479177934,0.006489994591671174,0.012439156300703082,0.0,0.07409410492157924,0.0016224986479177934
0.0,1.0,0.005321722302854378,0.010643444605708756,0.0,0.0009675858732462506,0.0024189646831156266,0.0,0.1262699564586357,0.0004837929366231253
0.0,0.0,1.0,0.049345167683265766,0.008041705470422263,0.0011504670897594736,0.05376594449012216,0.008060820450064218,0.13071815405206583,0.011755484532302917
0.0,0.0,0.0,1.0,0.0008481003427507704,0.0032751094597928366,0.003788486266030762,0.011375449712584987,0.1186365125707208,0.021778815107799585
0.0,0.0,0.0,0.0,1.0,0.0061062221021425086,0.011069890299895694,0.0017721268047209797,0.1811821760651626,0.16265371015627308
0.0,0.0,0.0,0.0,0.0,1.0,0.05691598584399204,0.00857100294996307,0.705748804972315,0.07429031312869308
0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.00018160676492661435,0.03842629142340192,0.0002422826557947521
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.03659264661770125,0.1457307796690513
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.018924970662688945
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
